brand,count,mean,std,min,25%,50%,75%,max
stella mccartney,53.0,706.376415094,326.009771893,135.98,500.0,600.0,1065.0,1140.0
steve madden,353.0,74.8432294618,35.1011047935,8.99,47.96,74.99,99.95,189.95
stevies,67.0,26.5420895522,4.85933638608,13.98,22.535,24.99,29.99,36.99
stride rite,249.0,30.7123694779,10.1978644392,11.98,22.98,30.0,37.5,65.0
stuart weitzman,141.0,205.256028369,210.124542399,19.9,44.9,62.96,365.0,875.0
superga,68.0,61.6927941176,39.2939672877,8.98,33.4775,48.95,75.45,158.95
supra,1.0,39.99,,39.99,39.99,39.99,39.99,39.99
surprize by stride rite,34.0,24.9017647059,4.9931325387,14.99,22.99,24.99,27.99,32.99
tempur-pedic,37.0,58.9213513514,14.1739356179,39.95,41.99,59.95,69.95,79.95
teva,83.0,57.3634939759,31.7427721534,10.78,35.985,49.95,73.47,199.95
the north face,49.0,87.5602040816,52.2618744677,16.77,58.98,75.98,98.96,300.0
timberland,119.0,77.9497478992,54.6064856063,12.99,34.95,59.96,119.975,259.95
tod's,60.0,387.821166667,215.258174617,39.98,219.7375,425.0,565.0,845.0
tommy hilfiger,57.0,43.2312280702,19.9728571236,15.28,29.95,38.95,49.95,125.97
toms,375.0,62.15392,28.0576770518,14.96,37.95,58.9,79.9,138.99
topshop,149.0,82.6559731544,43.3730298239,19.99,52.0,75.0,95.0,210.0
tory burch,143.0,218.423846154,117.475797909,33.49,137.0,195.0,280.0,650.0
touch ups,197.0,47.8708121827,19.5120251606,4.99,37.56,47.99,58.39,120.0
trotters,181.0,96.1138121547,35.0809672733,21.98,87.96,92.95,99.95,294.95
twisted x,16.0,161.780625,42.0775240825,74.99,145.5025,174.99,181.24,225.0
ugg,197.0,131.671928934,51.0842418326,31.95,87.95,134.95,169.95,249.95
ugg australia,691.0,124.688263386,58.4490649423,7.9,80.49,119.95,159.95,394.95
umi,80.0,50.4385,14.9127050667,15.98,41.255,54.95,61.2125,79.95
under armour,210.0,65.3133809524,28.9528997894,11.99,44.9825,59.99,84.99,149.99
unionbay,24.0,32.5525,13.4284041106,16.99,19.99,31.49,38.1225,69.99
usa dawgs,111.0,27.9159459459,10.1986318493,8.29,20.0,24.99,32.99,51.95
valentino,256.0,929.355234375,351.506987048,239.0,699.99,975.0,1075.0,2145.0
vaneli,143.0,123.688041958,54.2085972764,12.99,86.96,134.95,149.95,349.95
vans,275.0,42.8790545455,15.8229824482,15.98,32.47,39.96,54.95,109.54
vecceli italy,49.0,34.9246938776,11.7528108521,19.99,25.45,29.99,51.95,51.95
versace,2.0,132.91,29.7126269455,111.9,122.405,132.91,143.415,153.92
