None,price,price,price
None,count,mean,median
manolo blahnik,575,657.445147826,645.0
mark and maddux,96,36.7067708333,36.49
mark nason skechers,61,70.8518032787,71.96
marni,77,638.675194805,610.0
mars��ll,137,597.204379562,589.0
marvel,58,21.7805172414,22.99
matisse,207,83.6769565217,70.99
memoi,189,20.6398412698,19.99
menbur,76,155.084210526,147.95
mephisto,268,214.037723881,200.0
merona,148,26.5679054054,25.235
merona153,123,28.5721138211,27.99
merrell,768,74.9427994792,69.99
mezlan,183,302.564262295,259.1
mia,349,41.3340401146,34.99
michael michael kors,794,87.1619017632,79.99
minnetonka,267,45.7397752809,39.99
miu miu,140,582.2925,550.0
mizuno,249,73.7699598394,71.36
mossimo supply co,356,23.324241573,22.99
mossimo supply co.,189,24.7567195767,24.99
muk luks,1335,37.9582846442,30.99
munro,80,166.597375,179.95
naot,100,158.6899,159.45
naturalizer,870,62.1309425287,55.99
nature breeze,142,32.6673239437,31.99
new balance,1810,66.7792762431,59.98
nicholas kirkwood,76,567.738815789,522.5
nike,9223,89.119135856,79.9
nina,652,54.4718251534,49.95
nine west,1467,55.0749284254,49.99
nunn bush,260,61.5315,64.99
om,99,33.3071717172,26.99
onitsuka tiger,74,75.8374324324,72.525
otbt,209,97.4689473684,94.95
palladium,91,61.8771428571,55.96
pearl izumi,242,111.398636364,115.995
pikolinos,362,115.707044199,104.99
pin up,60,55.0166666667,55.95
pink paradox london,106,67.5280188679,70.555
pleaser,347,76.6895965418,72.95
polo ralph lauren,323,57.4959442724,51.45
polo ralph-lauren,147,73.0214965986,62.5
prada,741,605.008987854,599.0
primigi,198,70.6568686869,73.45
propet,364,55.684532967,54.95
puma,1314,50.8927092846,45.99
qupid,123,30.3383739837,29.95
rachel shoes,121,28.0719834711,28.0
rag & bone,109,378.62706422,395.0
ralph lauren,894,255.308143177,74.995
reebok,884,55.5184841629,49.99
reef,467,31.4709850107,28.0
refresh,89,30.5316853933,29.59
rialto,170,30.6595294118,29.99
rider,139,26.3717985612,25.56
rieker,354,76.5324293785,72.99
rieker-antistress,61,127.113934426,124.95
robert clergerie,237,344.033755274,292.99
rocket dog,257,31.3224902724,29.99
rockport,716,79.0628212291,74.99
rocky,147,138.327006803,139.99
ros hommerson,120,83.5888333333,88.45
rose petals by walking cradles,73,72.4338356164,53.16
ryka,249,46.1245783133,45.46
s sport by skechers,128,29.42078125,29.99
saint laurent,331,757.029546828,779.49
salvatore ferragamo,260,528.276307692,522.495
sam edelman,473,78.7992600423,69.99
sam libby,114,25.1078070175,24.99
sanita clogs,81,92.2354320988,99.95
sanuk,504,38.6768849206,37.995
saucony,721,65.7559223301,59.95
sebago,296,76.7254054054,79.95
see kai run,235,46.2269787234,44.95
seychelles,270,72.6622222222,61.87
shoes of prey,65,172.906923077,188.95
skechers,3910,49.0466982097,46.45
soda,79,26.6525316456,26.24
sofft,293,73.2754266212,69.0
soft style,143,42.0779020979,43.96
softspots,158,61.8772151899,69.95
softwalk,232,88.6365948276,87.9
sole society,72,82.46625,79.95
sorel,199,99.8465829146,89.99
spenco,99,54.0874747475,55.96
sperry,768,72.9031510417,64.9
sperry top sider,97,32.1579381443,23.98
spring step,581,79.4012048193,75.95
stella mccartney,62,721.963709677,660.0
steve madden,1534,63.4964993481,59.965
stevies,67,26.5420895522,24.99
stride rite,839,29.7164839094,29.99
stuart weitzman,829,239.816188179,192.99
superga,158,55.5693670886,49.99
supra,153,60.7817647059,59.9
surprize by stride rite,60,24.8525,24.99
tempur-pedic,68,62.7569117647,64.95
teva,335,55.1160895522,49.95
the north face,260,77.3762307692,74.995
