brand,count,mean,std,min,25%,50%,75%,max
josef seibel,23.0,128.892608696,35.7836674549,37.78,112.495,149.95,150.0,169.95
joules,2.0,86.47,54.4755064226,47.95,67.21,86.47,105.73,124.99
journee collection,8.0,35.31875,12.1857779369,16.99,30.8975,34.99,36.99,59.99
jumping jacks,15.0,31.2706666667,13.3659147871,10.98,19.48,27.57,40.95,52.95
justin boots,162.0,151.603148148,41.8609934576,63.98,124.95,144.95,183.7,259.95
k-swiss,122.0,53.0713934426,23.5326399778,13.98,34.0,49.985,65.7225,149.95
kamik,40.0,42.4415,20.4357948344,15.28,27.575,38.495,55.2375,98.99
keds,9.0,37.6433333333,10.3818555663,18.99,29.99,39.95,42.95,55.0
keen,111.0,69.6638738739,35.114653589,19.98,40.605,59.48,99.975,160.0
kenneth cole new york,21.0,86.7776190476,41.0589867026,29.0,49.95,74.9,115.99,160.0
kenneth cole reaction,78.0,79.5576923077,65.5117217612,15.28,41.7825,61.425,96.105,357.95
kenneth cole-reaction,30.0,70.8613333333,20.8123344949,29.99,59.9925,69.99,79.99,118.0
l'amour,1.0,46.99,,46.99,46.99,46.99,46.99,46.99
lacoste,149.0,76.5573825503,31.4023588027,24.24,54.95,66.95,90.98,175.96
lacrosse,77.0,160.364805195,84.0833238615,14.87,94.95,154.95,189.95,369.95
lamo,12.0,40.5933333333,17.4891453782,19.19,29.99,35.0,50.99,75.0
lanvin,57.0,530.815789474,215.20045953,189.0,339.0,570.0,595.0,1395.0
laura ashley,3.0,36.99,0.0,36.99,36.99,36.99,36.99,36.99
leisureland,15.0,20.4566666667,2.19241115365,13.59,19.99,19.99,21.99,22.79
levi's,60.0,49.6485,22.1563166052,20.98,35.74,39.9,60.3125,99.9
lugz,168.0,58.82,18.4452887385,26.98,44.98,55.99,67.325,109.99
maison margiela,41.0,674.56097561,279.338508693,229.0,470.0,589.0,875.0,1245.0
mark nason skechers,61.0,70.8518032787,16.1621817327,39.96,59.96,71.96,87.96,103.95
mars��ll,6.0,494.333333333,180.211727328,289.0,329.0,524.0,656.0,665.0
marvel,54.0,21.8264814815,8.47278755168,4.98,15.24,22.99,27.99,39.99
memoi,5.0,15.39,3.577708764,8.99,16.99,16.99,16.99,16.99
mephisto,22.0,296.677272727,71.5850750727,135.18,249.0,297.7,342.44,460.0
merona,56.0,28.9689285714,9.21425924188,8.48,21.8575,30.99,34.99,40.0
merona153,15.0,35.1893333333,7.96736241234,17.99,34.99,34.99,37.49,49.99
merrell,165.0,84.0079393939,40.3409433499,20.68,48.43,82.99,110.0,230.0
mezlan,128.0,344.403359375,182.387935617,152.95,234.325,322.45,394.95,1295.0
minnetonka,18.0,59.925,27.9910608104,32.95,42.95,54.95,67.95,147.95
mizuno,85.0,70.5124705882,36.3116652484,20.99,43.18,58.98,103.99,229.95
mossimo supply co,41.0,22.9995121951,8.43654430179,7.48,16.99,21.24,28.0,39.99
mossimo supply co.,33.0,25.8687878788,9.71711626383,4.99,24.99,27.99,29.99,44.99
muk luks,236.0,37.0615254237,16.80830578,13.19,24.715,29.99,49.99,99.0
naot,38.0,186.086052632,27.5101968849,110.97,168.95,199.95,199.95,239.95
naturalizer,1.0,40.52,,40.52,40.52,40.52,40.52,40.52
new balance,539.0,72.4152133581,39.3400795478,14.98,46.98,60.95,89.95,270.99
nike,4776.0,95.4357684255,127.740737544,9.5,61.5,84.94,110.0,8000.0
nunn bush,167.0,66.6625748503,12.9229134768,34.99,61.97,67.99,71.95,94.95
onitsuka tiger,41.0,91.8517073171,35.2820911301,24.04,74.9,89.9,109.9,169.9
palladium,30.0,66.2273333333,31.7855152365,21.98,47.96,55.96,77.97,174.95
pearl izumi,69.0,133.279565217,56.4297655715,41.06,108.0,124.95,135.0,349.95
pikolinos,12.0,134.006666667,42.9214858959,54.98,105.9225,141.75,166.2,194.95
pleaser,9.0,83.5844444444,29.2531797892,44.27,66.36,80.95,99.95,129.95
polo ralph lauren,174.0,52.9955172414,24.5640249078,7.99,35.2325,49.9,62.9,151.0
polo ralph-lauren,99.0,70.8104040404,31.4056383836,30.0,44.995,59.0,89.495,169.0
prada,137.0,605.853868613,225.307735218,78.99,429.0,650.0,720.0,1150.0
primigi,57.0,72.3401754386,18.8821298257,32.99,65.95,75.95,82.95,117.95
propet,78.0,63.0926923077,20.511669132,16.99,49.98,64.95,79.95,99.95
puma,377.0,56.0642440318,27.267611399,12.99,37.78,49.99,65.98,200.0
rachel shoes,1.0,31.99,,31.99,31.99,31.99,31.99,31.99
rag & bone,9.0,282.333333333,141.009751436,109.0,189.0,325.0,350.0,495.0
ralph lauren,233.0,332.192618026,378.977407535,9.99,59.0,109.0,595.0,2100.0
reebok,244.0,60.5912295082,26.1994119426,16.99,42.805,57.98,69.99,170.99
reef,88.0,28.6067045455,15.1140411022,7.69,17.96,22.475,38.99,75.0
rider,86.0,27.3038372093,5.50111457554,15.98,23.96,27.96,29.95,45.95
rieker-antistress,5.0,133.95,2.2360679775,129.95,134.95,134.95,134.95,134.95
rockport,142.0,81.4464788732,25.6942689252,37.49,59.99,77.995,99.99,150.0
rocky,129.0,137.101705426,42.9610163608,44.98,103.0,139.99,169.99,259.95
s sport by skechers,34.0,30.4232352941,9.89656068835,10.78,26.99,29.99,39.99,59.99
saint laurent,66.0,629.454545455,212.734083329,149.0,520.0,595.0,695.0,1295.0
salvatore ferragamo,86.0,610.509883721,207.464953585,229.0,495.0,570.0,686.25,1350.0
sanita clogs,10.0,101.65,20.4235702614,73.95,80.45,109.95,119.95,119.95
sanuk,98.0,44.1368367347,15.8335166882,10.98,32.0,44.495,55.0,79.95
saucony,158.0,50.2517721519,25.8255040712,14.38,32.08,44.95,59.9375,149.95
sebago,86.0,61.5425581395,25.9781190365,23.38,40.04,56.985,84.4375,134.95
see kai run,78.0,47.1969230769,11.2065197058,14.98,41.95,44.95,51.95,69.95
skechers,1068.0,53.9854868914,19.6559964892,14.98,41.95,50.95,60.0,157.99
sorel,45.0,90.7348888889,75.238347682,9.94,31.98,89.0,135.0,450.0
spenco,16.0,57.513125,19.7537350793,19.99,50.96,55.96,63.96,99.95
sperry,259.0,79.8276833977,38.569141409,10.99,49.995,69.99,99.9,190.0
sperry top sider,39.0,38.7925641026,24.1123263649,14.98,20.98,29.98,48.48,111.49
spring step,57.0,75.9215789474,18.3718573396,29.95,69.95,69.96,89.99,99.99
steve madden,68.0,78.8917647059,21.9206491584,26.99,66.24,79.99,89.99,125.0
stride rite,169.0,27.8475739645,10.983766459,9.88,17.99,27.99,36.0,59.5
stuart weitzman,3.0,135.66,59.4613042238,67.0,118.495,169.99,169.99,169.99
superga,3.0,36.7366666667,21.3369780741,17.98,25.13,32.28,46.115,59.95
supra,72.0,57.1570833333,18.3177539091,24.98,46.9,55.925,63.98,114.9
surprize by stride rite,26.0,24.7880769231,5.65686274837,12.74,20.74,26.49,29.49,32.99
tempur-pedic,29.0,68.5324137931,17.0342068991,37.78,49.97,69.95,89.95,89.95
teva,72.0,52.2397222222,33.5405142432,16.18,26.98,38.965,82.73,160.0
the north face,39.0,73.2858974359,40.4259057587,15.98,39.455,68.98,110.0,150.0
timberland,250.0,101.77108,46.1742587414,16.99,68.48,99.9,134.9975,220.0
tod's,212.0,328.263018868,143.374119289,138.98,197.98,276.25,430.0,775.0
tommy hilfiger,107.0,51.7795327103,20.9989537647,8.99,38.95,49.9,60.49,116.97
toms,112.0,60.8883035714,23.1323798602,22.9,43.6725,53.635,73.95,129.0
tory burch,3.0,106.783333333,18.6439302008,85.29,100.88,116.47,117.53,118.59
touch ups,4.0,42.1925,7.85210109886,34.36,35.9725,42.73,48.95,48.95
twisted x,75.0,142.408266667,52.0854189114,48.95,97.93,167.95,179.99,221.0
ugg,159.0,114.683333333,40.8364926256,48.95,89.95,109.95,139.95,229.95
ugg australia,149.0,118.277583893,49.0171071303,29.95,74.99,116.9,160.0,229.95
umi,26.0,54.4611538462,13.5279510132,14.98,46.95,53.455,68.7,69.95
under armour,544.0,71.6764154412,35.5767457342,12.79,47.7325,64.99,89.99,224.99
unionbay,33.0,59.8839393939,17.169084487,36.99,45.99,55.49,69.99,98.99
usa dawgs,40.0,59.68575,52.1074475649,15.49,24.74,33.99,66.24,189.99
valentino,28.0,719.214285714,248.497314561,189.0,574.0,707.0,870.0,1175.0
vans,565.0,50.5406371681,21.0508449221,15.98,35.9,49.9,64.9,200.0
vecceli italy,3.0,45.0233333333,5.99866929688,41.56,41.56,41.56,46.755,51.95
versace,48.0,269.557083333,31.9440605446,225.0,249.0,250.75,295.0,350.0
vince,8.0,308.7675,94.1340914031,194.9,259.375,285.625,324.8675,495.0
vince camuto,1.0,135.0,,135.0,135.0,135.0,135.0,135.0
vionic with-orthaheel-technology,14.0,119.275714286,18.5904382844,99.99,102.49,109.99,139.99,149.99
volatile,1.0,53.95,,53.95,53.95,53.95,53.95,53.95
western chief,84.0,30.7414285714,8.88365402174,14.98,25.1,29.95,39.95,54.95
wolverine,81.0,124.443950617,64.6107161715,29.98,79.9,114.08,150.0,400.0
xray,60.0,56.8316666667,15.8647599208,38.49,45.99,53.24,59.99,119.99
