,brand,categories,currency,dateSeen,gender,id,name,price,sizes
20471,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpgPUEAilAPnD_xpjPB,Kobe Ix Elite Bhm Black/ White 704304 010 Size 10.5,400,
271077,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpfJXTn1cnluZ0-e50G,Nike Air Foamposite Yeezy Solar Pro Size 11.5,398.99,
59456,nike,[shoes],USD,2015-04-20T20:02:33.808Z,M,AVpixRoE1cnluZ0-QgbB,Nike Mens Kd Vi Elite 10.5 M Us Photo Blue/atomic Mango/polarized Blue/team Orange,389.99,
150003,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpgmL95ilAPnD_xurOm,"Nike Mens Lebron Xi Premium ""what The Lebron"" Synthetic Basketball Shoes",382,
92725,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgpqc8LJeJML43Q8tN,Nike Air Foamposite One Premium Men's Shoes Black/anthracite 575420-006,380,
220289,nike,[shoes],USD,2015-04-20T20:10:52.684Z,IDK,AVpgs6k61cnluZ0-5PNh,Nike Air Max 97 Sp Ltd Nsw 596530-220 Size 9.5,375.95,
207532,nike,[shoes],USD,2015-04-19T09:20:50.708Z,IDK,AVpi3EagLJeJML43ptHc,Air Jordan 3 Retro 136064-003 136064-003,375,
21838,nike,[shoes],USD,2015-04-16T20:13:00.514Z,IDK,AVpi1VAl1cnluZ0-REDO,"Nike Air Jordan 11/xi Retro Db (gs) Big Kids ""cool Grey"" 2010 378038-001 Sz5.5y",375,
90599,nike,[Shoes],USD,2016-03-18T00:00:00Z,IDK,AVpg4snE1cnluZ0-7ii8,"Nike Air Max Lebron 10 Low ""swamp Thing"" - 579765 301 - (12 Us / 11 Uk)",363,
190616,nike,[shoes],USD,2015-04-19T21:19:49.722Z,M,AVpg97yc1cnluZ0-8m10,Jordan Air Jordan 11 Retro Low Mens,356,
236639,nike,[shoes],USD,2015-04-20T03:26:00.480Z,IDK,AVpjEUXs1cnluZ0-TP6L,Nike Lebron 9 Style# 472664 Big Kids,355.2,
146000,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgLhNo1cnluZ0-xqI0,Nike Air Max Lebron X 10 Low Tarp Green Neon Turquoise Poison Green Mens Basketball Shoes Size 579765-301 (8.5),350,
207809,nike,[shoes],USD,2015-04-20T20:35:24.802Z,IDK,AVpi5qDx1cnluZ0-Roxp,Nike Kobe 3 Prelude Gs,350,
216981,nike,[shoes],USD,2015-04-20T18:44:20.381Z,IDK,AVpgXmklilAPnD_xrgj3,"Nike Little Posite One (gs) "" Fruity Pebbles "" 644791 100 Size 7y Us",350,
231515,nike,[shoes],USD,2015-04-19T18:12:39.334Z,IDK,AVphu47Q1cnluZ0-Fx8J,Nike Jordan Spizike,350,
247843,nike,[shoes],USD,2015-04-21T04:05:55.112Z,M,AVphHAmU1cnluZ0--cOc,Nike Men's Kd V Elite+ Basketball Shoes,350,
31404,nike,[shoes],USD,2015-09-14T00:00:00Z,M,AVpg0eok1cnluZ0-6uch,Nike Kd Vii Premium Aunt Pearl Men's 706858 176 Size 13 Us,350,
208282,nike,[shoes],USD,2015-04-19T11:49:12.070Z,IDK,AVpi7k2QilAPnD_xIzw_,Air Jordan 5 Retro 'metallic Silver' - 136027-130,349.95,
222154,nike,[shoes],USD,2015-04-19T17:44:08.018Z,M,AVph3Zjn1cnluZ0-HRlO,Nike Mens Jordan Shine Deep Royal Blue/sail-vachetta Tan Leather Basketball Shoes,349,
23715,nike,[shoes],USD,2015-04-18T22:05:38.564Z,IDK,AVpih7PbLJeJML43mj3g,Nike Lebron 12 Bhm - Black/white/metallic Silver - 718825-001,347.98,
176960,nike,[shoes],USD,2015-04-20T22:20:05.780Z,IDK,AVpgzDJkilAPnD_xxayL,2013 Nike Kobe 8 Viii System All Star Area 72 587553 800 Sz 8,344,
193894,nike,"[Athletic, Team Sports, Men, Basketball, Shoes, Sports]",USD,2016-01-15T00:00:00Z,M,AVpgj5LZ1cnluZ0-3MYu,"Nike Mens Air Jordan 11 Retro ""72-10"" Black/gym Red-white-anthracite Leather",335,
