,index,brand,categories,id,name,price,currency,dateSeen,sizes,gender
160,100277,ugg,"[Shoes, Boots]",AVpe4hqoilAPnD_xQARf,Classic Mini Deco,89.99,USD,2016-05-22T00:00:00Z,"[10, 17, 18, 15, 9, 16, 8, 13, 14, 11, 12]",IDK
161,100278,unknown,[shoes],AVpe4hs5ilAPnD_xQASA,Bright Royal Blue Pumps With Rhinestones and 5.75 Inch Stiletto Heels,144.95,USD,2015-04-30T03:22:35.167Z,,IDK
162,100279,geox,"[Heels, Shoes]",AVpe4i-VilAPnD_xQAxt,D Carey 3,94.4,USD,2015-10-14T00:00:00Z,,IDK
163,10028,wanted shoe,[shoes],AVpfHf7cilAPnD_xVTji,Wanted Dunlap Tall Boots,89.0,USD,2015-08-13T00:00:00Z,,IDK
164,100280,k-swiss,[Shoes],AVpe4i45ilAPnD_xQAvG,Court Pro���,34.99,USD,2015-10-28T00:00:00Z,"[10.5, 8.5, 10, 7, 9.5, 7.5, 9, 11.5, 8, 13, 11, 12]",IDK
165,100282,jambu kids,[Shoes],AVpe4iMdLJeJML43xb6b,Marlin (toddler/little Kid/big Kid),29.99,USD,2016-04-02T00:00:00Z,,IDK
166,100283,stuart weitzman,"[Shoes, Boots]",AVpe4iiDLJeJML43xcDj,Jefecharo,347.99,USD,2015-10-28T00:00:00Z,"[10.5, W, 10, 9.5, M, 9]",IDK
167,100287,asics,[Shoes],AVpe4jEALJeJML43xcPb,Gel-nimbus�� 16,82.99,USD,2015-10-28T00:00:00Z,"[10.5, 9.5, 13, 14, 11, 12, 10, 6, 12.5, 9, 11.5]",IDK
168,100288,dc,[Shoes],AVpe4jOiLJeJML43xcTM,Nyjah Vulc Tx,34.46,USD,2016-05-07T00:00:00Z,"[11.5, 13, 11, 12]",IDK
169,100293,sperry top-sider,"[Loafers, Shoes]",AVpe4k2hLJeJML43xc7M,Leeward Penny,84.99,USD,2016-01-11T00:00:00Z,"[10.5, 8.5, 10, 9.5, 9, 11.5, 11, 12]",IDK
170,100295,nine west,"[Shoes, Heels]",AVpe4kLe1cnluZ0-Y-HF,Karey,44.99,USD,2015-10-28T00:00:00Z,,IDK
171,100296,madden girl,"[Shoes, Boots]",AVpe4kXgilAPnD_xQBTD,Sleet,53.12,USD,2016-05-22T00:00:00Z,"[8.5, 10, 7, 6, 6.5, 7.5, 9, 8]",IDK
172,100297,calvin klein,"[Loafers, Shoes]",AVpe4ks41cnluZ0-Y-VR,Miguel Perf,59.99,USD,2016-02-05T00:00:00Z,"[10.5, 10, 8.5, 7, 9.5, 7.5, 11.5, 9, 8, 13, 11, 12]",IDK
173,100298,toms,"[Kids, Shoes, Girls' Shoes, Flats]",AVpe4lBILJeJML43xc_R,"'classic - Crochet' Slip-on (toddler, Little Kid Big Kid)",21.97,USD,2015-11-05T00:00:00Z,[4.5 M],W
174,100299,teva,"[Shoes, Boots]",AVpe4lLc1cnluZ0-Y-hL,Delavina Low - Leather/canvas,84.99,USD,2015-10-21T00:00:00Z,"[8.5, 7, 6.5, 7.5, 9, 8]",IDK
175,1003,easy street,"[Heels, Shoes]",AVpe4T4qilAPnD_xP6yC,Addison,28.99,USD,2015-10-14T00:00:00Z,[6.5],IDK
176,10030,rockport,"[Oxfords, Shoes]",AVpfHfLo1cnluZ0-eRFG,City Smart Cap Toe Oxford,107.99,USD,2016-06-19T00:00:00Z,"[10.5, 8.5, 9.5, 15, 16, 13, 14, 11, 12, 10, 7, 6.5, 7.5, 11.5, 9, 8]",IDK
177,100301,havaianas,"[Sandals, Shoes]",AVpe4lR5ilAPnD_xQBq0,Slim Logo Stripes Flip Flops,21.56,USD,2016-05-07T00:00:00Z,,IDK
178,100302,nike,[shoes],AVpe4lUzilAPnD_xQBr9,Dart 10 Wide Grade School (gs) Youth Metallic Silver/white-black (6.5y),50.99,USD,2015-04-20T16:05:06.696Z,,IDK
179,100303,franco sarto,[Shoes],AVpe4lXLilAPnD_xQBs6,Franco Sarto Maleni Casual Over-the-knee Boots,179.0,USD,2015-08-20T00:00:00Z,,IDK
180,100304,rachel zoe,"[Flat, Sandals, Women, Shoes]",AVpe4la9ilAPnD_xQBum,'cecille' Leather Ankle Strap Sandal (women),63.65,USD,2015-11-05T00:00:00Z,"[10, 6, 5, 11]",W
181,100307,giuseppe zanotti,"[Shoes, Heels]",AVpe4lhMilAPnD_xQBxR,E56013,292.99,USD,2015-10-14T00:00:00Z,,IDK
182,100309,bed stu,"[Shoes, Boots]",AVpe4lq1LJeJML43xdQl,Oath,79.99,USD,2016-05-22T00:00:00Z,"[10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8, 11]",IDK
183,10031,tony lama,[Shoes],AVpfHfR9LJeJML432vcg,Rr3303,117.2,USD,2015-08-13T00:00:00Z,"[10.5, 10, 9, 11.5, 8, 13]",IDK
184,100311,bass,"[Heels, Shoes]",AVpe4lzfLJeJML43xdUD,Broadway,24.15,USD,2016-02-06T00:00:00Z,"[10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8]",IDK
185,100312,paw patrol,"[shoes, girls' shoes, toddler girls' shoes]",AVpe4m0QilAPnD_xQCVa,Paw Patrol Toddler Girl's Slippers - Pink,9.99,USD,2015-12-15T00:00:00Z,"[S, L, M, XL]",W
186,100313,j. rene,"[Party Evening, Women, Shoes, Peep Toe]",AVpe4mGKilAPnD_xQCBI,'jaden' Pump,104.95,USD,2015-11-08T00:00:00Z,"[10, 8.5, 5.5, 7, 6, 9.5, 5, 6.5, 7.5, 9, 8, 13, 11, 12]",W
187,100314,soda,"[Women's Casual Shoes, Shoes, Women's Boots, Women's Shoes]",AVpe4mXyilAPnD_xQCI9,Soda Zuluu-s Women's Flat Mid Calf Knee High Round Toe Slouch Comfort Casual Boot,19.5,USD,2016-03-16T00:00:00Z,"[8.5, 10, 7, 6, 6.5, 7.5, 9, 8]",W
188,100315,rag & bone,[Shoes],AVpe4mgHilAPnD_xQCMR,Newbury Nubuck Ankle Boot,495.0,USD,2015-07-18T05:00:00Z,,IDK
189,100316,sebago,"[Shoes, Boots]",AVpe4mpT1cnluZ0-Y_H_,Metro Zip Boot,116.61,USD,2016-05-05T00:00:00Z,"[10.5, 10, 9.5, 7.5, 11.5, 9, 8, 11, 12]",IDK
190,100318,no brand,"[shoes, women's shoes]",AVpe4n7j1cnluZ0-Y_pd,Women's Chastity Bootie Slippers,22.99,USD,2015-12-15T00:00:00Z,"[S, L, M, XL]",W
191,100319,new balance,[Running Shoes],AVpe4nFTLJeJML43xd2q,Kv990v3,59.95,USD,2015-07-18T05:00:00Z,"[12W, 12.5M, 1.5M, 11.5M, 10.5M, 12.5W, 2W, 1.5W, 3M, 2.5M, 1M, 2.5W, 10.5W, 11.5W, 12M, 3W, 11W, 13W, 1W, 13.5W, 2M, 11M, 13M, 13.5M]",IDK
192,100320,geox,"[Girls' Shoes, Kids, Shoes, Sneakers Athletic]",AVpe4nHX1cnluZ0-Y_VU,"'emy 6' Sneaker (toddler, Little Kid Big Kid)",65.0,USD,2015-11-09T00:00:00Z,,W
193,100324,elie tahari kids,"[Loafers, Shoes]",AVpe4nZNLJeJML43xd-8,Heaven Slip (little Kid/big Kid),31.99,USD,2016-05-22T00:00:00Z,,IDK
194,100326,nina,"[Heels, Shoes]",AVpe4nh-ilAPnD_xQCnL,Emmie,39.99,USD,2016-05-06T00:00:00Z,"[10, 5.5, 7, 6, 5, 6.5, 7.5, 8]",IDK
195,100328,justonestyle,"[shoes, Athletic, Water Shoes, Women]",AVpe4o7yLJeJML43xenA,New Band Beach Aqua Water Sports Athletic Gray Womens Shoes Velcro Sandals,15.99,USD,2015-03-13T15:57:04.150Z,,W
196,10033,converse,[shoes],AVpfHfYO1cnluZ0-eRJV,Converse Unisex Converse Ct As Hi Basketball Shoes,34.0,USD,2015-04-19T09:27:57.967Z,,IDK
197,100331,venettini kids,"[Shoes, Flats]",AVpe4ow2LJeJML43xeio,55-francis (little Kid/big Kid),86.75,USD,2016-06-19T00:00:00Z,,IDK
198,100332,mabis,[shoes],AVpe4p1FilAPnD_xQDkG,Mabis Healthcare Long Handle Shoe Horn - Silver,9.09,USD,2015-04-23T20:43:26.049Z,,IDK
199,100335,ecco,"[Women, Shoes, Comfort, Pumps]",AVpe4pMPLJeJML43xet-,'touch 50' Buckle Pump (women),99.9,USD,2015-11-06T00:00:00Z,,W
200,100338,dc,[Shoes],AVpe4pfY1cnluZ0-ZATR,Rd Grand,42.99,USD,2016-02-07T00:00:00Z,"[10, 7.5, 9, 11.5, 11, 12]",IDK
201,100339,clarks kids,[Shoes],AVpe4phJilAPnD_xQDbp,Juggle Act (toddler),32.99,USD,2016-03-30T00:00:00Z,,IDK
202,10034,rachel shoes,"[shoes, girls' shoes, toddler girls' shoes]",AVpfHfi21cnluZ0-eRNG,Toddler Girls' Rachel Shoes Fashion Boots,39.99,USD,2015-11-08T00:00:00Z,"[10, 7, 6, 9, 8, 11, 12]",W
203,100342,adidas by stella mccartney,[Shoes],AVpe4q7B1cnluZ0-ZA3i,Asimina Mid Cut,160.0,USD,2016-04-02T00:00:00Z,"[8.5, 5.5, 7, 6, 9.5, 6.5, 7.5, 9, 8]",IDK
